Age,Income,LoanAmount,CreditScore,YearsExperience,Gender,Education,City,EmploymentType,LoanApproved,GenderMapping,DeptToIncome(%),Age_group,IncomeOutlier,loanOutlier
28,95929,15957,461,22,Male,"High School",Houston,Unemployed,0,1,16,young,yes,no
66,33452,30897,481,15,Female,"High School","San Francisco",Unemployed,0,0,92,senior,no,no
25,45312,17084,848,5,Male,PhD,"New York",Unemployed,1,1,37,young,no,no
53,25179,37611,381,14,Male,Bachelors,"New York",Salaried,0,1,149,middle_age,no,no
55,58082,3503,823,17,Male,Bachelors,"San Francisco",Salaried,1,1,6,middle_age,no,no
57,52267,7630,303,37,Female,Bachelors,"San Francisco",Salaried,0,0,14,middle_age,no,no
37,61479,30593,794,12,Male,"High School","New York",Salaried,1,1,49,adulting,no,no
52,23914,32605,350,23,Female,"High School","New York",Salaried,0,0,136,middle_age,no,no
65,66694,13092,560,12,Male,PhD,"New York",Self-Employed,0,1,19,senior,no,no
42,37888,20551,433,0,Female,PhD,Chicago,Salaried,0,0,54,adulting,no,no
52,47765,25698,661,35,Female,Bachelors,"New York",Self-Employed,1,0,53,middle_age,no,no
42,63974,18165,516,17,Female,PhD,"New York",Unemployed,0,0,28,adulting,no,no
46,53919,21199,367,32,Male,Bachelors,"San Francisco",Unemployed,0,1,39,middle_age,no,no
35,54979,20087,575,37,Female,"High School","San Francisco",Unemployed,0,0,36,adulting,no,no
63,61988,8148,645,5,Male,"High School",Chicago,Unemployed,0,1,13,senior,no,no
35,56432,17243,493,16,Male,Bachelors,Chicago,Self-Employed,0,1,30,adulting,no,no
19,44883,20099,545,3,Female,PhD,Houston,Self-Employed,0,0,44,young,no,no
52,47503,20825,575,13,Male,PhD,"New York",Unemployed,0,1,43,middle_age,no,no
33,53178,6156,683,29,Female,Bachelors,"New York",Salaried,1,0,11,adulting,no,no
58,36567,26030,576,19,Male,"High School","San Francisco",Unemployed,0,1,71,middle_age,no,no
53,64940,21036,371,7,Female,Bachelors,Houston,Unemployed,0,0,32,middle_age,no,no
50,54330,11557,428,1,Male,PhD,"New York",Self-Employed,0,1,21,middle_age,no,no
21,51122,34393,657,36,Female,Bachelors,Houston,Unemployed,0,0,67,young,no,no
50,67887,17227,824,3,Male,"High School",Chicago,Self-Employed,1,1,25,middle_age,no,no
31,48198,17747,519,9,Male,Masters,"New York",Self-Employed,0,1,36,adulting,no,no
38,47264,25134,305,19,Female,Bachelors,"New York",Unemployed,0,0,53,adulting,no,no
65,42731,35072,527,34,Male,Masters,Chicago,Salaried,0,1,82,senior,no,no
37,55146,25448,316,9,Male,Bachelors,"New York",Self-Employed,0,1,46,adulting,no,no
25,54627,26609,311,27,Female,PhD,Chicago,Self-Employed,0,0,48,young,no,no
24,40006,11987,798,14,Female,PhD,Chicago,Self-Employed,1,0,29,young,no,no
20,47335,20696,801,35,Female,Masters,Houston,Unemployed,0,0,43,young,no,no
34,40106,15742,369,0,Female,Bachelors,"San Francisco",Unemployed,1,0,39,adulting,no,no
50,39427,25633,407,21,Female,PhD,"San Francisco",Self-Employed,0,0,65,middle_age,no,no
65,24052,26376,500,26,Male,Masters,Chicago,Salaried,0,1,109,senior,no,no
29,46536,33066,351,28,Female,Masters,Houston,Unemployed,0,0,71,young,no,no
68,24467,2733,848,14,Male,Bachelors,Chicago,Salaried,0,1,11,senior,no,no
39,43058,14955,558,9,Male,PhD,Houston,Salaried,0,1,34,adulting,no,no
39,40810,30402,781,19,Male,Masters,Houston,Unemployed,0,1,74,adulting,no,no
63,65778,8788,563,21,Male,Bachelors,"San Francisco",Self-Employed,0,1,13,senior,no,no
47,34776,26445,602,8,Male,"High School","San Francisco",Salaried,0,1,76,middle_age,no,no
55,38582,29072,424,31,Female,PhD,Houston,Self-Employed,0,0,75,middle_age,no,no
55,44277,19773,569,16,Female,Bachelors,"San Francisco",Salaried,0,0,44,middle_age,no,no
62,41298,8628,779,18,Female,"High School",Houston,Self-Employed,1,0,20,senior,no,no
68,70539,19028,431,39,Female,Masters,"New York",Unemployed,0,0,26,senior,no,no
25,32921,31669,301,26,Female,Bachelors,Chicago,Salaried,1,0,96,young,no,no
44,49738,32312,414,36,Female,Masters,"San Francisco",Salaried,0,0,64,adulting,no,no
44,54981,21663,780,33,Male,PhD,Chicago,Salaried,1,1,39,adulting,no,no
51,63218,12182,300,9,Female,PhD,"San Francisco",Self-Employed,0,0,19,middle_age,no,no
38,44296,33907,630,29,Female,Bachelors,Chicago,Salaried,1,0,76,adulting,no,no
47,21229,26567,690,20,Female,Masters,Chicago,Salaried,0,0,125,middle_age,no,no
50,47748,12708,442,20,Female,Bachelors,"San Francisco",Self-Employed,0,0,26,middle_age,no,no
45,70280,22740,627,33,Female,Masters,"San Francisco",Self-Employed,1,0,32,adulting,no,no
64,54233,22374,676,8,Male,Masters,"San Francisco",Unemployed,0,1,41,senior,no,no
50,53546,14906,389,33,Male,"High School","San Francisco",Self-Employed,0,1,27,middle_age,no,no
22,34055,22785,341,11,Male,Masters,Houston,Salaried,0,1,66,young,no,no
65,32515,28849,334,20,Female,PhD,"San Francisco",Salaried,0,0,88,senior,no,no
36,50271,17630,793,19,Female,PhD,"San Francisco",Unemployed,0,0,35,adulting,no,no
21,28604,29666,423,5,Female,PhD,"San Francisco",Unemployed,0,0,103,young,no,no
52,61720,5957,356,35,Male,"High School","New York",Salaried,0,1,9,middle_age,no,no
66,37300,37746,755,11,Male,Bachelors,Chicago,Self-Employed,0,1,101,senior,no,no
34,49630,20459,534,30,Female,PhD,"San Francisco",Salaried,0,0,41,adulting,no,no
61,21713,28584,691,1,Female,PhD,"San Francisco",Unemployed,0,0,131,senior,no,no
45,44093,21749,791,15,Male,Bachelors,Chicago,Salaried,1,1,49,adulting,no,no
47,32212,13412,642,0,Male,"High School",Chicago,Salaried,0,1,41,middle_age,no,no
46,15171,19709,475,3,Male,Masters,Houston,Salaried,0,1,129,middle_age,no,no
63,58128,4724,351,0,Female,Bachelors,Chicago,Unemployed,0,0,8,senior,no,no
23,74617,25507,849,34,Male,Masters,Chicago,Unemployed,0,1,34,young,no,no
52,66942,21550,777,12,Female,Masters,"New York",Unemployed,0,0,32,middle_age,no,no
58,60225,18468,788,30,Female,Masters,Houston,Self-Employed,1,0,30,middle_age,no,no
54,43788,26022,304,19,Female,Bachelors,"New York",Unemployed,0,0,59,middle_age,no,no
41,62088,20300,508,6,Male,Bachelors,Chicago,Self-Employed,0,1,32,adulting,no,no
46,68358,24855,516,39,Male,Masters,"San Francisco",Self-Employed,0,1,36,middle_age,no,no
66,52052,27699,835,32,Male,"High School",Houston,Unemployed,0,1,53,senior,no,no
63,32235,15606,641,27,Male,Bachelors,Chicago,Self-Employed,0,1,48,senior,no,no
48,42509,13317,700,19,Female,"High School",Chicago,Self-Employed,1,0,31,middle_age,no,no
52,75540,6220,575,31,Female,PhD,"San Francisco",Salaried,0,0,8,middle_age,no,no
50,48879,20980,510,8,Female,Masters,"San Francisco",Self-Employed,0,0,42,middle_age,no,no
69,129,23617,325,33,Female,PhD,"San Francisco",Self-Employed,0,0,18307,senior,yes,no
38,27966,9411,551,13,Male,Bachelors,Houston,Unemployed,0,1,33,adulting,no,no
49,43633,31363,302,3,Female,Bachelors,"New York",Salaried,0,0,71,middle_age,no,no
40,65537,13421,301,28,Male,"High School",Houston,Self-Employed,0,1,20,adulting,no,no
50,45903,3172,301,14,Female,PhD,"San Francisco",Self-Employed,0,0,6,middle_age,no,no
20,65816,31959,449,16,Male,PhD,Houston,Self-Employed,0,1,48,young,no,no
35,42108,4216,303,18,Female,"High School","San Francisco",Unemployed,0,0,10,adulting,no,no
42,20536,27713,796,37,Female,Masters,"New York",Unemployed,0,0,134,adulting,no,no
59,42627,25769,849,8,Male,Bachelors,Houston,Salaried,1,1,60,middle_age,no,no
48,55174,22556,767,26,Female,Bachelors,"New York",Self-Employed,1,0,40,middle_age,no,no
20,53929,15818,369,14,Male,"High School","New York",Salaried,0,1,29,young,no,no
57,31173,24022,500,36,Female,Masters,"San Francisco",Unemployed,0,0,77,middle_age,no,no
63,44732,28388,607,27,Male,Masters,Houston,Self-Employed,1,1,63,senior,no,no
41,90270,12114,551,3,Male,"High School",Houston,Self-Employed,0,1,13,adulting,yes,no
67,49738,27811,586,20,Male,Bachelors,"New York",Salaried,0,1,55,senior,no,no
49,59911,27447,591,33,Male,Bachelors,"San Francisco",Self-Employed,0,1,45,middle_age,no,no
64,18550,22344,453,18,Female,Bachelors,"New York",Unemployed,0,0,120,senior,no,no
39,62957,15696,432,36,Male,Masters,"New York",Salaried,0,1,24,adulting,no,no
40,36615,27484,573,3,Male,"High School","New York",Salaried,0,1,75,adulting,no,no
19,56031,24067,808,36,Male,Masters,"New York",Self-Employed,1,1,42,young,no,no
44,30627,11872,652,31,Male,Bachelors,Houston,Unemployed,0,1,38,adulting,no,no
59,54363,17061,304,11,Female,Masters,Chicago,Self-Employed,0,0,31,middle_age,no,no
19,36370,26552,592,15,Male,Bachelors,Houston,Salaried,0,1,73,young,no,no
43,39274,20917,659,13,Female,"High School","San Francisco",Salaried,1,0,53,adulting,no,no
34,56630,28688,513,0,Female,Bachelors,Chicago,Unemployed,0,0,50,adulting,no,no
57,43544,17267,705,31,Male,PhD,"New York",Salaried,1,1,39,middle_age,no,no
50,55706,12001,735,20,Male,PhD,Houston,Unemployed,0,1,21,middle_age,no,no
26,47137,37549,314,3,Male,"High School",Chicago,Self-Employed,0,1,79,young,no,no
60,51012,6553,572,8,Male,Masters,"New York",Unemployed,0,1,12,middle_age,no,no
65,56676,16001,344,21,Female,Masters,Houston,Self-Employed,0,0,28,senior,no,no
56,44750,22238,711,11,Female,Masters,Chicago,Self-Employed,0,0,49,middle_age,no,no
46,35059,27889,486,29,Male,Bachelors,Houston,Salaried,0,1,79,middle_age,no,no
59,42015,25172,469,29,Male,PhD,Chicago,Self-Employed,0,1,59,middle_age,no,no
43,67927,38490,700,31,Female,"High School","San Francisco",Salaried,1,0,56,adulting,no,no
52,51743,19059,545,35,Female,Masters,Houston,Unemployed,0,0,36,middle_age,no,no
67,37327,13016,342,6,Male,Masters,Houston,Unemployed,0,1,34,senior,no,no
42,56023,18242,478,16,Male,"High School",Chicago,Self-Employed,0,1,32,adulting,no,no
41,57025,17440,756,0,Male,Bachelors,"San Francisco",Unemployed,0,1,30,adulting,no,no
30,57800,19454,834,13,Male,Masters,Houston,Self-Employed,1,1,33,young,no,no
24,35332,12140,543,37,Male,Bachelors,"San Francisco",Unemployed,0,1,34,young,no,no
53,39764,26272,316,25,Male,Bachelors,"San Francisco",Self-Employed,0,1,66,middle_age,no,no
62,39848,22967,411,26,Female,Bachelors,Houston,Self-Employed,0,0,57,senior,no,no
37,44590,9889,846,15,Female,Bachelors,"New York",Unemployed,0,0,22,adulting,no,no
18,58084,27744,329,6,Female,Masters,Chicago,Unemployed,0,0,47,,no,no
25,54443,13508,491,31,Female,"High School",Houston,Unemployed,0,0,24,young,no,no
63,55628,10537,736,24,Male,"High School","San Francisco",Unemployed,0,1,18,senior,no,no
33,70310,20699,478,30,Male,Bachelors,Chicago,Self-Employed,0,1,29,adulting,no,no
31,60333,5937,773,15,Female,Masters,Houston,Self-Employed,1,0,9,adulting,no,no
29,47873,24716,433,13,Male,Bachelors,Chicago,Unemployed,0,1,51,young,no,no
68,32242,-2711,575,24,Male,"High School",Chicago,Unemployed,0,1,-8,senior,no,yes
40,39282,11765,324,29,Male,Bachelors,"San Francisco",Salaried,0,1,29,adulting,no,no
32,46074,32601,670,6,Female,PhD,"New York",Self-Employed,1,0,70,adulting,no,no
45,49738,14507,575,11,Female,Bachelors,"New York",Self-Employed,0,0,29,adulting,no,no
51,49590,15907,618,2,Female,Bachelors,Chicago,Unemployed,0,0,32,middle_age,no,no
19,40157,30189,529,26,Female,Bachelors,"San Francisco",Salaried,0,0,75,young,no,no
49,39007,13657,401,18,Female,Bachelors,"San Francisco",Unemployed,0,0,35,middle_age,no,no
40,48956,26108,749,36,Female,Masters,Houston,Self-Employed,1,0,53,adulting,no,no
39,63350,29394,677,6,Female,PhD,Chicago,Self-Employed,1,0,46,adulting,no,no
68,73865,23828,502,15,Male,Masters,Houston,Salaried,0,1,32,senior,no,no
42,46913,8441,566,31,Female,"High School","San Francisco",Unemployed,1,0,17,adulting,no,no
39,49329,15168,761,7,Male,PhD,Chicago,Salaried,1,1,30,adulting,no,no
39,31791,41709,664,12,Male,PhD,"New York",Unemployed,0,1,131,adulting,no,yes
66,79088,16076,403,10,Female,Masters,"New York",Salaried,0,0,20,senior,no,no
69,28985,43891,410,19,Male,Bachelors,Houston,Unemployed,1,1,151,senior,no,yes
59,67575,33672,727,17,Male,"High School",Chicago,Unemployed,0,1,49,middle_age,no,no
23,44520,24153,768,36,Female,"High School","San Francisco",Unemployed,0,0,54,young,no,no
32,41010,22378,549,5,Male,PhD,Houston,Self-Employed,0,1,54,adulting,no,no
60,33350,16281,781,19,Female,"High School","New York",Unemployed,0,0,48,middle_age,no,no
54,86151,19289,630,31,Male,PhD,"San Francisco",Self-Employed,1,1,22,middle_age,no,no
50,53322,14490,500,28,Male,PhD,Chicago,Salaried,0,1,27,middle_age,no,no
25,50319,19491,575,3,Male,"High School","New York",Unemployed,0,1,38,young,no,no
61,63301,9102,575,6,Male,PhD,"San Francisco",Self-Employed,0,1,14,senior,no,no
61,40238,8674,845,19,Female,Bachelors,"New York",Salaried,1,0,21,senior,no,no
22,50028,30408,410,33,Female,PhD,Chicago,Unemployed,0,0,60,young,no,no
56,50845,7102,843,35,Female,Bachelors,Houston,Salaried,1,0,13,middle_age,no,no
21,42318,27089,575,6,Male,Bachelors,"San Francisco",Self-Employed,0,1,64,young,no,no
23,67995,4845,332,32,Male,Bachelors,"San Francisco",Self-Employed,0,1,7,young,no,no
62,46720,25037,406,14,Male,"High School",Chicago,Unemployed,0,1,53,senior,no,no
49,26703,18339,564,31,Male,Bachelors,"New York",Self-Employed,0,1,68,middle_age,no,no
69,45478,30571,525,21,Female,"High School","New York",Self-Employed,0,0,67,senior,no,no
47,53738,17344,786,39,Male,Masters,"New York",Salaried,1,1,32,middle_age,no,no
64,36598,3924,478,28,Female,Bachelors,"San Francisco",Unemployed,0,0,10,senior,no,no
52,37781,18496,521,24,Male,PhD,"San Francisco",Unemployed,0,1,48,middle_age,no,no
57,41806,21277,669,4,Male,Masters,"New York",Unemployed,0,1,50,middle_age,no,no
69,68319,18944,466,13,Female,Masters,"San Francisco",Salaried,0,0,27,senior,no,no
33,42693,24601,599,34,Female,Bachelors,Houston,Self-Employed,0,0,57,adulting,no,no
30,71437,15485,680,1,Female,"High School",Chicago,Unemployed,0,0,21,young,no,no
67,40776,9893,334,24,Female,Masters,Chicago,Unemployed,0,0,24,senior,no,no
59,49738,12003,706,15,Male,Bachelors,"San Francisco",Salaried,1,1,24,middle_age,no,no
47,43306,15874,801,15,Female,Masters,Houston,Salaried,1,0,36,middle_age,no,no
36,61311,15805,613,10,Female,Masters,Houston,Unemployed,0,0,25,adulting,no,no
34,33226,39249,400,34,Male,Bachelors,"New York",Unemployed,0,1,118,adulting,no,no
36,61143,30041,514,22,Male,PhD,Chicago,Salaried,0,1,49,adulting,no,no
45,51708,25494,361,4,Male,PhD,Chicago,Salaried,0,1,49,adulting,no,no
43,49738,23568,668,34,Male,PhD,Chicago,Salaried,1,1,47,adulting,no,no
54,47507,22398,667,28,Female,Masters,"San Francisco",Salaried,1,0,47,middle_age,no,no
43,73008,22440,393,4,Female,"High School",Houston,Self-Employed,0,0,30,adulting,no,no
40,52068,21306,768,2,Male,"High School","New York",Self-Employed,1,1,40,adulting,no,no
26,39459,20321,325,5,Female,Masters,"San Francisco",Unemployed,0,0,51,young,no,no
29,31930,3265,734,22,Female,Masters,"New York",Self-Employed,0,0,10,young,no,no
18,57581,17047,420,1,Male,Bachelors,"San Francisco",Salaried,0,1,29,,no,no
18,52938,18078,349,17,Female,Bachelors,Chicago,Unemployed,0,0,34,,no,no
64,60425,14008,335,29,Female,Masters,"New York",Salaried,0,0,23,senior,no,no
51,28067,15551,709,37,Male,PhD,Houston,Self-Employed,0,1,55,middle_age,no,no
49,32416,22406,588,4,Female,"High School",Houston,Salaried,0,0,69,middle_age,no,no
65,67203,26141,678,10,Female,Masters,"San Francisco",Unemployed,0,0,38,senior,no,no
42,54970,22394,399,0,Male,Bachelors,Chicago,Self-Employed,0,1,40,adulting,no,no
57,58001,25940,623,9,Female,Bachelors,"San Francisco",Unemployed,0,0,44,middle_age,no,no
62,35560,26081,628,25,Male,Bachelors,"New York",Self-Employed,0,1,73,senior,no,no
18,35285,17602,520,32,Male,PhD,Houston,Salaried,0,1,49,,no,no
33,64869,24202,409,26,Male,"High School",Houston,Unemployed,0,1,37,adulting,no,no
56,65576,6029,448,11,Male,Masters,Houston,Self-Employed,0,1,9,middle_age,no,no
22,33675,16925,705,1,Male,PhD,Houston,Self-Employed,0,1,50,young,no,no
39,30809,15985,709,0,Male,Masters,"New York",Self-Employed,0,1,51,adulting,no,no
46,48371,32251,428,0,Female,PhD,Houston,Self-Employed,0,0,66,middle_age,no,no
20,38010,22697,783,32,Male,PhD,"San Francisco",Salaried,0,1,59,young,no,no
29,37697,9324,407,21,Female,Masters,Houston,Salaried,0,0,24,young,no,no
43,31229,24757,688,11,Male,"High School","New York",Self-Employed,0,1,79,adulting,no,no
33,42973,27278,724,38,Male,Bachelors,Chicago,Salaried,1,1,63,adulting,no,no
68,32680,19283,746,35,Male,PhD,Chicago,Salaried,0,1,59,senior,no,no
54,33569,25522,367,20,Female,PhD,Houston,Self-Employed,0,0,76,middle_age,no,no
39,54476,34,365,19,Female,Bachelors,Chicago,Salaried,0,0,0,adulting,no,no
46,49172,-1595,803,35,Male,"High School","New York",Unemployed,0,1,-3,middle_age,no,no
31,57273,10571,803,25,Female,Bachelors,Houston,Unemployed,0,0,18,adulting,no,no
45,25264,21192,620,30,Male,"High School","New York",Salaried,0,1,83,adulting,no,no
22,50148,32257,746,0,Male,PhD,Chicago,Self-Employed,1,1,64,young,no,no
64,49738,10989,509,37,Female,PhD,Chicago,Unemployed,0,0,22,senior,no,no
66,44416,13171,669,13,Male,Masters,Houston,Salaried,1,1,29,senior,no,no
47,62371,20709,757,25,Male,"High School",Chicago,Salaried,1,1,33,middle_age,no,no
63,62240,16061,462,6,Female,Bachelors,Houston,Self-Employed,0,0,25,senior,no,no
69,62978,15606,631,11,Male,"High School",Houston,Self-Employed,1,1,24,senior,no,no
22,52500,16628,649,23,Male,"High School","San Francisco",Salaried,1,1,31,young,no,no
29,58491,30518,767,18,Female,"High School","San Francisco",Self-Employed,1,0,52,young,no,no
33,60485,28929,725,8,Female,"High School","San Francisco",Unemployed,0,0,47,adulting,no,no
43,59532,20188,626,34,Male,Bachelors,"New York",Unemployed,0,1,33,adulting,no,no
43,33239,33236,405,3,Male,Masters,Chicago,Salaried,0,1,99,adulting,no,no
65,24389,24072,554,31,Female,PhD,Chicago,Salaried,0,0,98,senior,no,no
38,26696,29231,657,5,Female,Bachelors,"San Francisco",Self-Employed,0,0,109,adulting,no,no
56,45948,13116,743,27,Male,Bachelors,Houston,Unemployed,0,1,28,middle_age,no,no
53,58909,14771,412,27,Female,PhD,Houston,Self-Employed,0,0,25,middle_age,no,no
50,33434,14685,329,39,Female,Masters,Houston,Salaried,0,0,43,middle_age,no,no
47,63860,19306,823,28,Female,Bachelors,Houston,Salaried,1,0,30,middle_age,no,no
54,42466,20479,345,4,Male,PhD,"New York",Salaried,0,1,48,middle_age,no,no
40,42609,22593,470,4,Male,Masters,Chicago,Salaried,0,1,53,adulting,no,no
27,37458,35785,429,36,Male,Masters,"San Francisco",Salaried,0,1,95,young,no,no
22,21728,25770,652,27,Male,"High School","New York",Salaried,1,1,118,young,no,no
53,53440,15882,502,8,Male,Bachelors,Chicago,Self-Employed,0,1,29,middle_age,no,no
51,75690,19974,525,28,Female,Masters,"New York",Self-Employed,0,0,26,middle_age,no,no
69,49060,32040,575,13,Female,Bachelors,Houston,Self-Employed,0,0,65,senior,no,no
48,22241,26255,609,37,Female,PhD,"New York",Unemployed,0,0,118,middle_age,no,no
27,61705,31934,334,39,Male,Bachelors,"New York",Self-Employed,0,1,51,young,no,no
36,25628,16139,460,33,Male,Masters,Houston,Salaried,0,1,62,adulting,no,no
49,31864,14307,734,36,Female,PhD,Houston,Self-Employed,0,0,44,middle_age,no,no
18,46425,14424,837,13,Female,PhD,"San Francisco",Self-Employed,1,0,31,,no,no
22,51843,16784,524,17,Female,"High School","San Francisco",Unemployed,0,0,32,young,no,no
62,34870,11494,745,32,Female,PhD,Chicago,Salaried,0,0,32,senior,no,no
21,45840,22362,616,33,Male,Masters,"San Francisco",Unemployed,0,1,48,young,no,no
33,60727,22499,713,27,Male,"High School","San Francisco",Unemployed,0,1,37,adulting,no,no
41,62783,30710,394,35,Female,Masters,Chicago,Unemployed,0,0,48,adulting,no,no
33,68772,5918,524,36,Male,Masters,"New York",Self-Employed,0,1,8,adulting,no,no
19,78641,12447,365,22,Male,"High School","New York",Salaried,0,1,15,young,no,no
66,62148,26445,696,16,Male,"High School","New York",Salaried,1,1,42,senior,no,no
45,46749,21468,509,10,Male,Bachelors,Houston,Unemployed,0,1,45,adulting,no,no
49,62890,20358,773,31,Female,Masters,Chicago,Salaried,1,0,32,middle_age,no,no
44,49738,30111,789,36,Female,Bachelors,"New York",Salaried,1,0,60,adulting,no,no
37,57596,11920,479,14,Male,PhD,"San Francisco",Unemployed,0,1,20,adulting,no,no
41,52658,14170,823,3,Female,PhD,"San Francisco",Self-Employed,1,0,26,adulting,no,no
29,36319,13228,758,38,Male,Bachelors,"San Francisco",Unemployed,0,1,36,young,no,no
67,34579,3897,367,29,Female,"High School",Chicago,Unemployed,0,0,11,senior,no,no
52,48543,21063,628,9,Female,PhD,Chicago,Self-Employed,1,0,43,middle_age,no,no
50,52234,15817,501,22,Female,"High School","San Francisco",Self-Employed,0,0,30,middle_age,no,no
50,39808,14137,774,23,Female,Bachelors,Houston,Self-Employed,0,0,35,middle_age,no,no
68,56350,12693,817,35,Female,"High School",Houston,Self-Employed,1,0,22,senior,no,no
60,81211,19858,314,4,Female,Masters,"New York",Unemployed,0,0,24,middle_age,no,no
54,23835,13612,341,36,Female,Bachelors,"New York",Self-Employed,0,0,57,middle_age,no,no
29,58734,21773,842,18,Male,"High School","New York",Salaried,1,1,37,young,no,no
20,49010,23673,588,36,Female,"High School","New York",Unemployed,0,0,48,young,no,no
18,56760,17643,575,7,Male,Masters,"New York",Unemployed,0,1,31,,no,no
50,43539,17100,543,6,Female,"High School",Chicago,Self-Employed,0,0,39,middle_age,no,no
57,47809,21484,473,39,Female,Bachelors,Chicago,Self-Employed,0,0,44,middle_age,no,no
27,51943,19769,833,12,Female,Bachelors,Houston,Salaried,1,0,38,young,no,no
60,45475,30641,808,36,Male,Bachelors,Houston,Self-Employed,1,1,67,middle_age,no,no
61,49738,22546,543,26,Male,PhD,Chicago,Unemployed,0,1,45,senior,no,no
46,46491,28765,359,17,Male,"High School",Houston,Self-Employed,0,1,61,middle_age,no,no
30,49738,24884,403,23,Male,PhD,"San Francisco",Salaried,0,1,50,young,no,no
29,59798,9453,575,1,Male,PhD,Houston,Unemployed,0,1,15,young,no,no
48,22017,15534,376,15,Female,"High School","San Francisco",Unemployed,0,0,70,middle_age,no,no
63,65430,19615,317,13,Male,"High School","San Francisco",Self-Employed,0,1,29,senior,no,no
19,56443,26948,833,16,Male,Bachelors,"New York",Salaried,1,1,47,young,no,no
68,56501,35423,483,5,Male,PhD,Houston,Salaried,0,1,62,senior,no,no
67,17535,16127,849,34,Female,PhD,"San Francisco",Self-Employed,0,0,91,senior,no,no
52,45071,20442,580,16,Female,"High School",Houston,Unemployed,0,0,45,middle_age,no,no
40,67303,26399,587,37,Female,PhD,Houston,Unemployed,0,0,39,adulting,no,no
34,42221,19537,824,39,Male,Masters,Chicago,Unemployed,0,1,46,adulting,no,no
43,33829,33153,773,5,Female,"High School",Chicago,Self-Employed,0,0,98,adulting,no,no
25,40450,9218,566,37,Male,Bachelors,"New York",Unemployed,0,1,22,young,no,no
46,48976,25424,656,20,Female,Masters,Houston,Unemployed,0,0,51,middle_age,no,no
43,37229,25346,300,34,Female,Bachelors,Chicago,Self-Employed,0,0,68,adulting,no,no
27,68507,29216,326,22,Female,Bachelors,"San Francisco",Unemployed,0,0,42,young,no,no
43,49030,20496,847,11,Female,Masters,"San Francisco",Self-Employed,1,0,41,adulting,no,no
51,41666,27132,575,28,Female,Masters,"New York",Salaried,0,0,65,middle_age,no,no
68,30480,18007,698,26,Male,Bachelors,"San Francisco",Salaried,0,1,59,senior,no,no
58,57267,13589,842,5,Male,PhD,Houston,Self-Employed,1,1,23,middle_age,no,no
24,56925,12422,426,20,Female,Masters,"San Francisco",Self-Employed,0,0,21,young,no,no
21,38117,8469,509,6,Male,Masters,"New York",Self-Employed,0,1,22,young,no,no
67,16455,16469,449,15,Female,"High School","New York",Unemployed,0,0,100,senior,no,no
62,56161,22492,330,4,Female,Bachelors,"San Francisco",Unemployed,0,0,40,senior,no,no
28,47198,18335,601,14,Female,PhD,Houston,Self-Employed,1,0,38,young,no,no
46,55041,21584,556,20,Female,PhD,Chicago,Self-Employed,0,0,39,middle_age,no,no
53,79358,29879,356,3,Female,Bachelors,Houston,Unemployed,0,0,37,middle_age,no,no
42,49598,15860,308,4,Female,Bachelors,Houston,Unemployed,0,0,31,adulting,no,no
38,42292,38722,304,6,Female,PhD,Houston,Self-Employed,0,0,91,adulting,no,no
53,32790,26042,413,34,Male,PhD,"San Francisco",Unemployed,0,1,79,middle_age,no,no
27,45314,18425,575,35,Male,"High School",Chicago,Unemployed,0,1,40,young,no,no
54,52409,18243,323,14,Female,"High School",Houston,Salaried,0,0,34,middle_age,no,no
26,50800,11935,792,27,Male,PhD,Chicago,Self-Employed,1,1,23,young,no,no
41,75852,19794,705,1,Female,Bachelors,"New York",Self-Employed,1,0,26,adulting,no,no
52,57486,2707,402,4,Male,Bachelors,Chicago,Unemployed,0,1,4,middle_age,no,no
66,47978,30046,359,6,Male,"High School","San Francisco",Salaried,0,1,62,senior,no,no
52,39402,-2533,385,21,Female,"High School","New York",Self-Employed,0,0,-6,middle_age,no,yes
65,54000,20334,671,30,Female,Masters,"New York",Self-Employed,1,0,37,senior,no,no
53,36395,10848,501,31,Male,"High School",Houston,Unemployed,0,1,29,middle_age,no,no
35,52697,14391,388,7,Female,PhD,Chicago,Self-Employed,0,0,27,adulting,no,no
66,57311,15423,736,10,Male,Bachelors,"New York",Unemployed,0,1,26,senior,no,no
56,46753,35405,419,0,Female,Masters,"New York",Salaried,0,0,75,middle_age,no,no
49,40546,11174,455,39,Male,Masters,Chicago,Salaried,0,1,27,middle_age,no,no
41,17221,27314,698,18,Male,Bachelors,Chicago,Self-Employed,0,1,158,adulting,no,no
40,67158,29283,487,37,Male,Bachelors,"New York",Unemployed,0,1,43,adulting,no,no
49,49738,1293,351,36,Female,PhD,"New York",Salaried,0,0,2,middle_age,no,no
54,56414,15077,830,6,Male,"High School",Chicago,Self-Employed,1,1,26,middle_age,no,no
29,26580,31876,779,38,Female,Masters,"San Francisco",Self-Employed,0,0,119,young,no,no
66,70698,9482,529,24,Female,Masters,Chicago,Self-Employed,0,0,13,senior,no,no
30,43022,29586,780,21,Female,Bachelors,"San Francisco",Unemployed,0,0,68,young,no,no
40,45668,19857,429,26,Female,Bachelors,"New York",Unemployed,0,0,43,adulting,no,no
42,33961,19511,354,37,Female,"High School",Houston,Salaried,0,0,57,adulting,no,no
52,23196,20556,570,38,Male,Masters,Chicago,Unemployed,0,1,88,middle_age,no,no
